t,x,v
0.0,0.0,-8794.100190463383
1e-09,8.794100190463384e-06,8794.100190463383
2e-09,3.5176400761853536e-05,26382.30057139015
3.0000000000000004e-09,7.914690171417044e-05,43970.500952316914
4e-09,0.00014070560304741412,61558.701333243676
5e-09,0.00021985250476158456,79146.90171417044
6.000000000000001e-09,0.0003165876068566818,96735.1020950972
7.000000000000001e-09,0.00043091090933270577,114323.30247602396
8e-09,0.0005628224121896565,131911.50285695074
9.000000000000001e-09,0.000712322115427534,149499.70323787752
