ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
28,5.8e-08,1.50523,68921,8e+08,-2.38989e-18,-2.38989e-18,-2.38989e-18,2.3268e-15,9261,1e+08,1.28317e-17,1.28317e-17,1.28317e-17,4.01326e-12,7.27895e-11,7.68051e-11
29,6e-08,1.53859,68921,8e+08,-2.65423e-18,-2.65423e-18,-2.65423e-18,2.47986e-15,9261,1e+08,1.32809e-17,1.32809e-17,1.32809e-17,4.28086e-12,7.25272e-11,7.68105e-11
30,6.2e-08,1.57326,68921,8e+08,-2.79289e-18,-2.79289e-18,-2.79289e-18,2.63831e-15,9261,1e+08,1.37287e-17,1.37287e-17,1.37287e-17,4.55439e-12,7.22584e-11,7.68155e-11
31,6.4e-08,1.7101,68921,8e+08,-2.93231e-18,-2.93231e-18,-2.93231e-18,2.80237e-15,9261,1e+08,1.4175e-17,1.4175e-17,1.4175e-17,4.8335e-12,7.19836e-11,7.68199e-11
32,6.6e-08,1.74401,68921,8e+08,-3.23195e-18,-3.23195e-18,-3.23195e-18,2.97168e-15,9261,1e+08,1.46196e-17,1.46196e-17,1.46196e-17,5.11785e-12,7.17031e-11,7.6824e-11
33,6.8e-08,1.77982,68921,8e+08,-3.32189e-18,-3.32189e-18,-3.32189e-18,3.14627e-15,9261,1e+08,1.50624e-17,1.50624e-17,1.50624e-17,5.4071e-12,7.14173e-11,7.68276e-11
34,7e-08,1.81612,68921,8e+08,-3.40551e-18,-3.40551e-18,-3.40551e-18,3.32643e-15,9261,1e+08,1.55034e-17,1.55034e-17,1.55034e-17,5.70089e-12,7.11266e-11,7.68308e-11
35,7.2e-08,1.85321,68921,8e+08,-3.29522e-18,-3.29522e-18,-3.29522e-18,3.51211e-15,9261,1e+08,1.59423e-17,1.59423e-17,1.59423e-17,5.99886e-12,7.08314e-11,7.68338e-11
36,7.4e-08,1.88903,68921,8e+08,-2.23621e-18,-2.23621e-18,-2.23621e-18,3.70303e-15,9261,1e+08,1.6379e-17,1.6379e-17,1.6379e-17,6.30067e-12,7.05322e-11,7.68366e-11
37,7.6e-08,1.92648,68921,8e+08,-2.3229e-18,-2.3229e-18,-2.3229e-18,3.89625e-15,9261,1e+08,1.68135e-17,1.68135e-17,1.68135e-17,6.60596e-12,7.02292e-11,7.6839e-11
38,7.8e-08,1.96309,68921,8e+08,-2.38007e-18,-2.38007e-18,-2.38007e-18,4.09458e-15,9261,1e+08,1.72455e-17,1.72455e-17,1.72455e-17,6.91437e-12,6.99227e-11,7.68412e-11
39,8e-08,1.99919,68921,8e+08,-2.46213e-18,-2.46213e-18,-2.46213e-18,4.29829e-15,9261,1e+08,1.7675e-17,1.7675e-17,1.7675e-17,7.22557e-12,6.96132e-11,7.68431e-11
40,8.2e-08,2.03648,68921,8e+08,-2.48687e-18,-2.48687e-18,-2.48687e-18,4.5073e-15,9261,1e+08,1.81017e-17,1.81017e-17,1.81017e-17,7.53919e-12,6.9301e-11,7.68447e-11
41,8.4e-08,2.1733,68921,8e+08,-2.47979e-18,-2.47979e-18,-2.47979e-18,4.72161e-15,9261,1e+08,1.85256e-17,1.85256e-17,1.85256e-17,7.85487e-12,6.89866e-11,7.68462e-11
42,8.6e-08,2.21405,68921,8e+08,-2.5119e-18,-2.5119e-18,-2.5119e-18,4.9412e-15,9261,1e+08,1.89465e-17,1.89465e-17,1.89465e-17,8.17226e-12,6.86705e-11,7.68477e-11
43,8.8e-08,2.25074,68921,8e+08,-2.42362e-18,-2.42362e-18,-2.42362e-18,5.16599e-15,9261,1e+08,1.93643e-17,1.93643e-17,1.93643e-17,8.49102e-12,6.83529e-11,7.68491e-11
44,9e-08,2.28641,68921,8e+08,-2.41051e-18,-2.41051e-18,-2.41051e-18,5.39574e-15,9261,1e+08,1.97788e-17,1.97788e-17,1.97788e-17,8.81079e-12,6.80343e-11,7.68505e-11
45,9.2e-08,2.32368,68921,8e+08,-2.28554e-18,-2.28554e-18,-2.28554e-18,5.63055e-15,9261,1e+08,2.01898e-17,2.01898e-17,2.01898e-17,9.13123e-12,6.77148e-11,7.68516e-11
46,9.4e-08,2.3601,68921,8e+08,-2.28268e-18,-2.28268e-18,-2.28268e-18,5.87018e-15,9261,1e+08,2.05972e-17,2.05972e-17,2.05972e-17,9.452e-12,6.73947e-11,7.68526e-11
47,9.6e-08,2.39623,68921,8e+08,-2.27499e-18,-2.27499e-18,-2.27499e-18,6.11484e-15,9261,1e+08,2.10009e-17,2.10009e-17,2.10009e-17,9.77277e-12,6.70745e-11,7.68534e-11
48,9.8e-08,2.43249,68921,8e+08,-2.25709e-18,-2.25709e-18,-2.25709e-18,6.36446e-15,9261,1e+08,2.14006e-17,2.14006e-17,2.14006e-17,1.00932e-11,6.67545e-11,7.6854e-11
49,1e-07,2.46787,68921,8e+08,-6.93793e-19,-6.93793e-19,-6.93793e-19,6.61893e-15,9261,1e+08,2.17963e-17,2.17963e-17,2.17963e-17,1.04129e-11,6.64352e-11,7.68548e-11
